district,price_m2_oct24,monthly_var,quart_var,annual_var,price_m2_historical_max,var_from_max
Sarrià-Sant Gervasi,5900,0.015,0.01,0.059,5900,0
Les Corts,5724,0.018,0.036,0.137,5724,0
Eixample,5674,0.003,0.026,0.122,5674,0
Gràcia,4973,0.002,0.002,0.088,4973,0
Ciutat Vella,4571,0.018,0.036,0.061,4600,-0.006
Sant Martí,4321,0.037,0.036,0.141,4321,0
Sants-Montjuïc,3882,0.011,0.04,0.094,3929,-0.012
Sant Andreu,3536,0.02,0.049,0.128,3536,0
Horta Guinardó,3442,0.014,0.035,0.072,3442,0
Nou Barris,2466,0.002,0.029,0.026,2941,-0.162
